"hello, what's up",1691614309.0837972
user,kfbjd vnh,1691615557.689184
chatbot,I've got 4 eggs.,1691615557.689184
user,kjbfksdvhb,1691615677.060314
chatbot,I've got 1 eggs.,1691615677.060314
user,jyfchjgu,1691615822.4260674
chatbot,I've got 2 eggs.,1691615822.4260674
user,jvhgchgchg,1691615891.7434082
chatbot,I've got 1 eggs.,1691615891.7434082
user,dhdrhbfcb,1691615896.5320704
chatbot,I've got 8 eggs.,1691615896.5320704
user,g egbgfnfghstfg b,1691615900.7080324
chatbot,I've got 10 eggs.,1691615900.7080324
user,gtgbgcvbfgbgbgb,1691615905.4497476
chatbot,I've got 1 eggs.,1691615905.4497476
user,ksjg vdsjbv ,1691616275.771943
chatbot,I've got 2 eggs.,1691616275.771943
user, fvdvds,1691616299.5906813
chatbot,I've got 1 eggs.,1691616299.5906813
user,mcv dzh c,1691616362.9331827
chatbot,I've got 2 eggs.,1691616362.9331827
user,dvdv,1691616512.7481925
chatbot,I've got 7 eggs.,1691616512.7481925
user,"v v, ",1691616582.3509676
chatbot,I've got 6 eggs.,1691616582.3509676
user,dsvds,1691616670.3842974
chatbot,I've got 7 eggs.,1691616670.3842974
user,svfvf,1691616767.2843294
chatbot,I've got 1 eggs.,1691616767.2843294
user,jv kdjv k,1691616783.945294
chatbot,I've got 8 eggs.,1691616783.945294
user,svjbsdfjkvb,1691616878.973696
chatbot,I've got 0 eggs.,1691616878.973696
user,"a,fv sdkjvb",1691616905.7850082
chatbot,I've got 8 eggs.,1691616905.7850082
user,snfksejbgf,1691617019.1236558
chatbot,I've got 5 eggs.,1691617019.1236558
user,kjfbsrkhgbksehdb,1691617026.931089
chatbot,I've got 8 eggs.,1691617026.931089
user,jvbkdsjvb,1691792442.4313817
chatbot,I've got 2 eggs.,1691792442.446841
user,,1691792444.1994638
chatbot,I've got 9 eggs.,1691792444.1994638
user,bkbjbjb,1691792576.1644876
chatbot,I've got 1 eggs.,1691792576.1644876
user,nvkdfsjvnkd,1691792668.0716107
chatbot,I've got 7 eggs.,1691792668.0716107
user,fuck you,1691793793.6203682
chatbot,I've got 0 eggs.,1691793793.6203682
user,lsknfldrn,1691794095.545759
chatbot,I've got 8 eggs.,1691794095.545759
user,guck,1691794750.8595238
chatbot,I've got 2 eggs.,1691794750.8595238
user,svf,1691795365.3253999
chatbot,I've got 10 eggs.,1691795365.3253999
user,fuck you,1691795511.8481472
chatbot,I've got 2 eggs.,1691795511.8481472
user,shit,1691795518.4094372
chatbot,I've got 0 eggs.,1691795518.4094372
user,dfbvgdbtr,1691795521.5838747
chatbot,I've got 0 eggs.,1691795521.5838747
user,vfddddddddddddddddddd,1691795527.158049
chatbot,I've got 5 eggs.,1691795527.158049
user,fuck off,1691849180.4606075
chatbot,I've got 10 eggs.,1691849180.4842696
user,fuck you,1691849186.997787
chatbot,I've got 8 eggs.,1691849186.997787
user,fuck no,1691849194.101138
chatbot,I've got 5 eggs.,1691849194.101138
user,fuck you,1691852728.3751843
chatbot,I've got 3 eggs.,1691852728.3751843
user,shit,1691852737.309544
chatbot,I've got 4 eggs.,1691852737.309544
user,shit,1691852789.240981
chatbot,I've got 6 eggs.,1691852789.240981
user,why,1691852796.7125642
chatbot,I've got 8 eggs.,1691852796.7125642
user,"idhksafbksd,nf",1691852848.0785708
chatbot,I've got 9 eggs.,1691852848.0785708
user,sdvf,1691852853.919588
chatbot,I've got 2 eggs.,1691852853.919588
user,magbkdrjbh,1691853228.7447884
chatbot,I've got 0 eggs.,1691853228.7447884
user,msbrjbglitji4jtwj,1691853236.8290467
chatbot,I've got 7 eggs.,1691853236.8290467
user,jbgksrjgbrd,1691853240.770631
chatbot,I've got 3 eggs.,1691853240.770631
user,osugbdrbg,1691853272.007335
chatbot,I've got 4 eggs.,1691853272.007335
user,jtbskbykrbykhb,1691853280.26106
chatbot,I've got 4 eggs.,1691853280.26106
user,fffffffffffffffffffff,1691853290.4844012
chatbot,I've got 1 eggs.,1691853290.4844012
user,shut,1691853554.6651416
chatbot,I've got 3 eggs.,1691853554.6651416
user,fdgdf,1691853558.3951921
chatbot,I've got 10 eggs.,1691853558.3951921
user,bfffffffffffffffffffff,1691853562.337257
chatbot,I've got 9 eggs.,1691853562.337257
user,kajdkasf,1691863815.17931
chatbot,I've got 0 eggs.,1691863815.17931
user,ajfbdskjbv,1691863818.6492527
chatbot,I've got 6 eggs.,1691863818.6572192
user,sljjkbjv,1691863822.7244275
chatbot,I've got 4 eggs.,1691863822.7244275
user,fuck,1691863866.6791322
chatbot,I've got 5 eggs.,1691863866.6791322
user,hhjyg,1691863876.5388682
chatbot,I've got 6 eggs.,1691863876.5388682
user,jgbkdfjgbsjfnzn,1691864099.980708
chatbot,I've got 0 eggs.,1691864099.980708
user,jbvksdjbkvjdxn,1691864104.5359755
chatbot,I've got 2 eggs.,1691864104.5359755
user,"ljbvkfjvbksdnmc,",1691864109.2540798
chatbot,I've got 4 eggs.,1691864109.2540798
user,shittttttttttttt,1691864116.5315323
chatbot,I've got 9 eggs.,1691864116.5315323
user,whyyyyyyyyyyyy,1691864129.376756
chatbot,I've got 5 eggs.,1691864129.376756
user,why,1691864205.543374
chatbot,I've got 5 eggs.,1691864205.543374
user,because,1691864210.0939298
chatbot,I've got 0 eggs.,1691864210.0939298
user,mice,1691864215.0092566
chatbot,I've got 2 eggs.,1691864215.0169587
user,hi,1691864350.9847145
chatbot,I've got 0 eggs.,1691864350.9847145
user,okay,1691864355.1700344
chatbot,I've got 2 eggs.,1691864355.1700344
user,"sure, that's great dljbngfdbnrelsnkfsldnclksdnckldslcksdnvljndfvjncx,nv,mc",1691864369.5158696
chatbot,I've got 6 eggs.,1691864369.5158696
user,wow,1691864376.1661994
chatbot,I've got 5 eggs.,1691864376.1661994
user,hidoigkfjvn,1691864390.0652583
chatbot,I've got 8 eggs.,1691864390.0652583
user,ejgnrtjnvdfnv,1691864395.524114
chatbot,I've got 8 eggs.,1691864395.524114
user,wfeljvfvnfjk dffffffffffffffffffffffffffffffffffffffffgggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg,1691864921.9568753
chatbot,I've got 3 eggs.,1691864921.9568753
user,ksjvndfjk woivndfvn ownfvkdsjn jdnc osjdvkdjv sncksdvcn ksjvnkdsjvdjv oaincdsnfjdn jndj fnefjknd sjdnkdn kjndskjcnsk,1691865120.6936786
chatbot,I've got 2 eggs.,1691865120.6936786
user,ksjvndfjk woivndfvn ownfvkdsjn jdnc osjdvkdjv sncksdvcn ksjvnkdsjvdjv oaincdsnfjdn jndj fnefjknd sjdnkdn kjndskjcnsk ksjvndfjk woivndfvn ownfvkdsjn jdnc osjdvkdjv sncksdvcn ksjvnkdsjvdjv oaincdsnfjdn jndj fnefjknd sjdnkdn kjndskjcnsk ksjvndfjk woivndfvn ownfvkdsjn jdnc osjdvkdjv sncksdvcn ksjvnkdsjvdjv oaincdsnfjdn jndj fnefjknd sjdnkdn kjndskjcnsk ksjvndfjk woivndfvn ownfvkdsjn jdnc osjdvkdjv sncksdvcn ksjvnkdsjvdjv oaincdsnfjdn jndj fnefjknd sjdnkdn kjndskjcnsk,1691865139.2588565
chatbot,I've got 3 eggs.,1691865139.2973778
user,"hi, what are you doin, i'm good that's great can you tell me if this is worth dying for lskdvnfjkvnkdfjvnjfnvjfnvjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjf",1691865599.8609715
chatbot,I've got 6 eggs.,1691865599.8609715
user,whys dfnrekfnjrejherbfjerhfbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,1691866258.092343
chatbot,I've got 7 eggs.,1691866258.092343
user,fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,1691867373.4952123
chatbot,I've got 1 eggs.,1691867373.4952123
user,"iudhcisdbvcsbvc skjvbhkdsbv max-width: 400px;
  margin: 0 auto;",1691867381.4479868
chatbot,I've got 1 eggs.,1691867381.4479868
user,,1691867385.1625345
chatbot,I've got 7 eggs.,1691867385.1625345
user,"evfsvfverver max-width: 400px;
  margin: 0 auto;max-width: 400px;
  margin: 0 auto;max-width: 400px;
  margin: 0 auto;max-width: 400px;
  margin: 0 auto;max-width: 400px;
  margin: 0 auto;max-width: 400px;
  margin: 0 auto;",1691867393.0670733
chatbot,I've got 1 eggs.,1691867393.0670733
user,"vfdv 


fvdfv",1691867404.2433023
chatbot,I've got 10 eggs.,1691867404.2433023
user,"rvsvfv 

 fd",1691867411.1392827
chatbot,I've got 1 eggs.,1691867411.1392827
user,"sdsfffffffffffffffffffffffffffffff
",1691873338.8803787
chatbot,I've got 2 eggs.,1691873338.8803787
user,hi there,1691873816.3788936
chatbot,I've got 6 eggs.,1691873816.3788936
user,gvgfbcb,1691873961.5121598
chatbot,I've got 7 eggs.,1691873961.5121598
user,whidsfbdjbv,1691873986.9917598
chatbot,I've got 6 eggs.,1691873986.9917598
user,jsgbjdgrb,1691938342.0844853
chatbot,I've got 3 eggs.,1691938342.11625
user,,1691938343.8029888
chatbot,I've got 4 eggs.,1691938343.8029888
user,,1691938345.653899
chatbot,I've got 1 eggs.,1691938345.653899
user,"ciao amici
",1691938421.45064
chatbot,I've got 9 eggs.,1691938421.45064
user,,1691938422.5030093
chatbot,I've got 5 eggs.,1691938422.5030093
user,,1691938423.6005068
chatbot,I've got 9 eggs.,1691938423.6005068
user,,1691938423.9337475
chatbot,I've got 3 eggs.,1691938423.9337475
user,,1691938425.004364
chatbot,I've got 4 eggs.,1691938425.004364
user,,1691938425.3302917
chatbot,I've got 7 eggs.,1691938425.3302917
user,,1691938426.4236941
chatbot,I've got 4 eggs.,1691938426.4236941
user,pvdfvnkdfnvncjkdsn evnkdsjcn,1691940233.544564
chatbot,"<span class=""error"">pvdfvnkdfnvncjkdsn</span> <span class=""error"">evnkdsjcn</span> <span class=""correction"">Ciao,</span> <span class=""correction"">io</span> <span class=""correction"">mi</span> <span class=""correction"">chiamo</span> <span class=""correction"">k.</span> <span class=""correction"">Come</span> <span class=""correction"">stai?</span>",1691940233.544564
user,"Ciao, io mi chiamo k. Come stai?",1691940376.7405193
chatbot,"Ciao, io mi chiamo k. Come stai?",1691940376.7405193
user,"Ciao, io chiama k. Come stai?",1691940391.79167
chatbot,"Ciao, io <span className=""correction"">mi</span> <span className=""error"">chiama</span> <span className=""correction"">chiamo</span> k. Come stai?",1691940391.79167
user,"Ciao, io mi chiamo k. Come stai?",1691944608.020673
chatbot,"Ciao, io mi chiamo k. Come stai?",1691944608.020673
user,",jnj,n",1691945591.984283
chatbot,"<span className=""error"">,jnj,n</span> <span className=""correction"">Ciao,</span> <span className=""correction"">io</span> <span className=""correction"">mi</span> <span className=""correction"">chiamo</span> <span className=""correction"">k.</span> <span className=""correction"">Come</span> <span className=""correction"">stai?</span>",1691945591.9922822
user,"Ciao, io mi chiamo k. Come stai?",1691945901.295894
chatbot,I've got 2 eggs.,1691945901.295894
user,"Ciao, io mi chiamo k. Come stai?",1691946047.5794475
chatbot,I've got 8 eggs.,1691946047.5794475
user,"Ciao, io chiama k. Come stai?",1691946057.965266
chatbot,I've got 8 eggs.,1691946057.965266
user,"ciao, io mi chiamo k. Come vai?",1691946694.7013206
chatbot,I've got 8 eggs.,1691946694.7013206
user,"Ciao, io mi chiamo k. Come stai?",1691947460.7150714
chatbot,I've got 7 eggs.,1691947460.7150714
user,"Ciao, chiamo k. Come stai?",1691949307.6181593
chatbot,I've got 7 eggs.,1691949307.6181593
user,"Ciao, chiamo k. Come sta?",1691949404.9537332
chatbot,I've got 4 eggs.,1691949404.9537332
user,"Ciao, io mi chiamo k. Come stai?",1691949580.5794425
chatbot,I've got 4 eggs.,1691949580.5794425
user,"Ciao, io mi chiamo k. Come stai?",1691949580.7607188
chatbot,I've got 3 eggs.,1691949580.7607188
user,"Ciao, io mi chiamo k. Come stai?",1691949591.432686
chatbot,I've got 3 eggs.,1691949591.432686
user,"Ciao, io mi chiamo k. Come stai?",1691950183.9938562
chatbot,I've got 9 eggs.,1691950183.9938562
user,"Ciao, chiamo k. Come stai?",1691950209.6375942
chatbot,I've got 4 eggs.,1691950209.6375942
user,"Ciao, chiamo k. Come sta?",1691950239.8347604
chatbot,I've got 5 eggs.,1691950239.8347604
user,fycj,1692040338.0516443
chatbot,I've got 10 eggs.,1692040338.0669248
user,gfd,1692042947.123543
chatbot,I've got 7 eggs.,1692042947.123543
user,"Ciao, chiamo k. Come sta?",1692043289.6033828
chatbot,I've got 10 eggs.,1692043289.6033828
user,ciao,1692045555.1002321
chatbot,I've got 10 eggs.,1692045555.1002321
user,come,1692045560.5279012
chatbot,I've got 2 eggs.,1692045560.5279012
user,"Ciao, io mi chiama k. Come vai?",1692046920.7731595
chatbot,I've got 3 eggs.,1692046920.7731595
user,ciao,1692107480.0526707
chatbot,I've got 3 eggs.,1692107480.1464932
user,jsbjdfbv,1692108084.702475
chatbot,I've got 9 eggs.,1692108084.702475
user,fuck,1692108231.9420998
chatbot,I've got 5 eggs.,1692108231.9420998
user,ciao,1692111852.843461
chatbot,I've got 2 eggs.,1692111852.875008
user,ciao,1692116214.2788653
chatbot,I've got 7 eggs.,1692116214.2788653
user,fuck,1692117067.3772876
chatbot,I've got 3 eggs.,1692117067.3772876
user,"ciao, come sta?",1692294959.2629514
chatbot,I've got 4 eggs.,1692294959.2880065
user,"ciao, io mi chiamo k. Come sta?",1692294994.4183736
chatbot,I've got 10 eggs.,1692294994.4183736
user,"ciao, io mi chiamo k. Come sta?",1692295201.2499018
chatbot,I've got 4 eggs.,1692295201.2499018
user,"ciao, io mi chiamo k. Come sta?",1692295417.6422975
chatbot,I've got 9 eggs.,1692295417.6422975
user,"ciao, io mi chiamo k. Come sta?",1692295517.662788
chatbot,I've got 8 eggs.,1692295517.662788
user,"ciao, io mi chiamo k. Come stai?",1692295572.384787
chatbot,I've got 3 eggs.,1692295572.384787
user,"ciao, io mi chiamo k. Come sta?",1692295589.7858393
chatbot,I've got 7 eggs.,1692295589.7858393
user,ciao,1692295968.4232893
chatbot,I've got 5 eggs.,1692295968.4232893
user,shit,1692390684.2946184
chatbot,I've got 8 eggs.,1692390684.3106546
user,"tutto a posto, grazie mill. Di che cosa vuoi parlare?",1692395313.1437778
chatbot,Mi fa piacere sapere che tutto va bene. Possiamo parlare di qualsiasi argomento che ti interessa. Hai qualche preferenza?,1692395313.1437778
user,ciao,1692479985.3875296
chatbot,Mi fa piacere sapere che tutto va bene. Possiamo parlare di qualsiasi argomento che ti interessa. Hai qualche preferenza?,1692479985.396678
user,"ciao, come stai, tutto bene?",1692480528.3128495
